,video,0-1_chin0X,0-1_chin0Y,0-1_left_eyebrow0X,0-1_left_eyebrow0Y,0-1_left_eyebrow1X,0-1_left_eyebrow1Y,0-1_right_eyebrow0X,0-1_right_eyebrow0Y,0-1_right_eyebrow1X,0-1_right_eyebrow1Y,0-1_nose_bridge0X,0-1_nose_bridge0Y,0-1_nose_tip0X,0-1_nose_tip0Y,0-1_left_eye0X,0-1_left_eye0Y,0-1_right_eye0X,0-1_right_eye0Y,0-1_top_lip0X,0-1_top_lip0Y,0-1_top_lip1X,0-1_top_lip1Y,0-1_bottom_lip0X,0-1_bottom_lip0Y,0-1_bottom_lip1X,0-1_bottom_lip1Y,1-2_chin0X,1-2_chin0Y,1-2_left_eyebrow0X,1-2_left_eyebrow0Y,1-2_left_eyebrow1X,1-2_left_eyebrow1Y,1-2_right_eyebrow0X,1-2_right_eyebrow0Y,1-2_right_eyebrow1X,1-2_right_eyebrow1Y,1-2_nose_bridge0X,1-2_nose_bridge0Y,1-2_nose_tip0X,1-2_nose_tip0Y,1-2_left_eye0X,1-2_left_eye0Y,1-2_right_eye0X,1-2_right_eye0Y,1-2_top_lip0X,1-2_top_lip0Y,1-2_top_lip1X,1-2_top_lip1Y,1-2_bottom_lip0X,1-2_bottom_lip0Y,1-2_bottom_lip1X,1-2_bottom_lip1Y,2-3_chin0X,2-3_chin0Y,2-3_left_eyebrow0X,2-3_left_eyebrow0Y,2-3_left_eyebrow1X,2-3_left_eyebrow1Y,2-3_right_eyebrow0X,2-3_right_eyebrow0Y,2-3_right_eyebrow1X,2-3_right_eyebrow1Y,2-3_nose_bridge0X,2-3_nose_bridge0Y,2-3_nose_tip0X,2-3_nose_tip0Y,2-3_left_eye0X,2-3_left_eye0Y,2-3_right_eye0X,2-3_right_eye0Y,2-3_top_lip0X,2-3_top_lip0Y,2-3_top_lip1X,2-3_top_lip1Y,2-3_bottom_lip0X,2-3_bottom_lip0Y,2-3_bottom_lip1X,2-3_bottom_lip1Y,3-4_chin0X,3-4_chin0Y,3-4_left_eyebrow0X,3-4_left_eyebrow0Y,3-4_left_eyebrow1X,3-4_left_eyebrow1Y,3-4_right_eyebrow0X,3-4_right_eyebrow0Y,3-4_right_eyebrow1X,3-4_right_eyebrow1Y,3-4_nose_bridge0X,3-4_nose_bridge0Y,3-4_nose_tip0X,3-4_nose_tip0Y,3-4_left_eye0X,3-4_left_eye0Y,3-4_right_eye0X,3-4_right_eye0Y,3-4_top_lip0X,3-4_top_lip0Y,3-4_top_lip1X,3-4_top_lip1Y,3-4_bottom_lip0X,3-4_bottom_lip0Y,3-4_bottom_lip1X,3-4_bottom_lip1Y,4-5_chin0X,4-5_chin0Y,4-5_left_eyebrow0X,4-5_left_eyebrow0Y,4-5_left_eyebrow1X,4-5_left_eyebrow1Y,4-5_right_eyebrow0X,4-5_right_eyebrow0Y,4-5_right_eyebrow1X,4-5_right_eyebrow1Y,4-5_nose_bridge0X,4-5_nose_bridge0Y,4-5_nose_tip0X,4-5_nose_tip0Y,4-5_left_eye0X,4-5_left_eye0Y,4-5_right_eye0X,4-5_right_eye0Y,4-5_top_lip0X,4-5_top_lip0Y,4-5_top_lip1X,4-5_top_lip1Y,4-5_bottom_lip0X,4-5_bottom_lip0Y,4-5_bottom_lip1X,4-5_bottom_lip1Y,5-6_chin0X,5-6_chin0Y,5-6_left_eyebrow0X,5-6_left_eyebrow0Y,5-6_left_eyebrow1X,5-6_left_eyebrow1Y,5-6_right_eyebrow0X,5-6_right_eyebrow0Y,5-6_right_eyebrow1X,5-6_right_eyebrow1Y,5-6_nose_bridge0X,5-6_nose_bridge0Y,5-6_nose_tip0X,5-6_nose_tip0Y,5-6_left_eye0X,5-6_left_eye0Y,5-6_right_eye0X,5-6_right_eye0Y,5-6_top_lip0X,5-6_top_lip0Y,5-6_top_lip1X,5-6_top_lip1Y,5-6_bottom_lip0X,5-6_bottom_lip0Y,5-6_bottom_lip1X,5-6_bottom_lip1Y,6-7_chin0X,6-7_chin0Y,6-7_left_eyebrow0X,6-7_left_eyebrow0Y,6-7_left_eyebrow1X,6-7_left_eyebrow1Y,6-7_right_eyebrow0X,6-7_right_eyebrow0Y,6-7_right_eyebrow1X,6-7_right_eyebrow1Y,6-7_nose_bridge0X,6-7_nose_bridge0Y,6-7_nose_tip0X,6-7_nose_tip0Y,6-7_left_eye0X,6-7_left_eye0Y,6-7_right_eye0X,6-7_right_eye0Y,6-7_top_lip0X,6-7_top_lip0Y,6-7_top_lip1X,6-7_top_lip1Y,6-7_bottom_lip0X,6-7_bottom_lip0Y,6-7_bottom_lip1X,6-7_bottom_lip1Y,7-8_chin0X,7-8_chin0Y,7-8_left_eyebrow0X,7-8_left_eyebrow0Y,7-8_left_eyebrow1X,7-8_left_eyebrow1Y,7-8_right_eyebrow0X,7-8_right_eyebrow0Y,7-8_right_eyebrow1X,7-8_right_eyebrow1Y,7-8_nose_bridge0X,7-8_nose_bridge0Y,7-8_nose_tip0X,7-8_nose_tip0Y,7-8_left_eye0X,7-8_left_eye0Y,7-8_right_eye0X,7-8_right_eye0Y,7-8_top_lip0X,7-8_top_lip0Y,7-8_top_lip1X,7-8_top_lip1Y,7-8_bottom_lip0X,7-8_bottom_lip0Y,7-8_bottom_lip1X,7-8_bottom_lip1Y,8-9_chin0X,8-9_chin0Y,8-9_left_eyebrow0X,8-9_left_eyebrow0Y,8-9_left_eyebrow1X,8-9_left_eyebrow1Y,8-9_right_eyebrow0X,8-9_right_eyebrow0Y,8-9_right_eyebrow1X,8-9_right_eyebrow1Y,8-9_nose_bridge0X,8-9_nose_bridge0Y,8-9_nose_tip0X,8-9_nose_tip0Y,8-9_left_eye0X,8-9_left_eye0Y,8-9_right_eye0X,8-9_right_eye0Y,8-9_top_lip0X,8-9_top_lip0Y,8-9_top_lip1X,8-9_top_lip1Y,8-9_bottom_lip0X,8-9_bottom_lip0Y,8-9_bottom_lip1X,8-9_bottom_lip1Y,9-10_chin0X,9-10_chin0Y,9-10_left_eyebrow0X,9-10_left_eyebrow0Y,9-10_left_eyebrow1X,9-10_left_eyebrow1Y,9-10_right_eyebrow0X,9-10_right_eyebrow0Y,9-10_right_eyebrow1X,9-10_right_eyebrow1Y,9-10_nose_bridge0X,9-10_nose_bridge0Y,9-10_nose_tip0X,9-10_nose_tip0Y,9-10_left_eye0X,9-10_left_eye0Y,9-10_right_eye0X,9-10_right_eye0Y,9-10_top_lip0X,9-10_top_lip0Y,9-10_top_lip1X,9-10_top_lip1Y,9-10_bottom_lip0X,9-10_bottom_lip0Y,9-10_bottom_lip1X,9-10_bottom_lip1Y,10-11_chin0X,10-11_chin0Y,10-11_left_eyebrow0X,10-11_left_eyebrow0Y,10-11_left_eyebrow1X,10-11_left_eyebrow1Y,10-11_right_eyebrow0X,10-11_right_eyebrow0Y,10-11_right_eyebrow1X,10-11_right_eyebrow1Y,10-11_nose_bridge0X,10-11_nose_bridge0Y,10-11_nose_tip0X,10-11_nose_tip0Y,10-11_left_eye0X,10-11_left_eye0Y,10-11_right_eye0X,10-11_right_eye0Y,10-11_top_lip0X,10-11_top_lip0Y,10-11_top_lip1X,10-11_top_lip1Y,10-11_bottom_lip0X,10-11_bottom_lip0Y,10-11_bottom_lip1X,10-11_bottom_lip1Y,isAnger,isDisgust,isFear,isHappiness,isSadness,isSurprise
55,trainAnger056,-1,-1,2,2,1,2,0,1,-1,1,0,0,-1,-2,2,0,0,-1,0,-2,0,-2,-1,-2,-1,-1,-1,3,-2,0,1,-1,1,-1,3,1,0,-1,0,2,-1,-1,1,-1,-1,2,-1,1,2,2,2,1,1,0,0,-1,0,0,-1,0,-1,-1,1,-1,0,-2,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,1,2,-1,1,1,1,1,3,0,2,0,1,0,1,0,2,1,0,0,0,0,0,1,0,-2,-2,-1,-2,-1,-2,-1,-1,-2,-2,-1,-2,0,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,2,-7,1,-3,0,-1,0,-2,-1,-4,-1,2,0,1,1,1,-1,2,1,0,2,0,1,-2,0,-1,2,-12,2,2,3,-2,-3,-2,0,-1,0,-1,-1,-1,1,0,0,-1,9,-1,9,-2,-6,-2,-6,-2,1,15,-2,2,-5,2,1,2,1,0,-2,1,0,0,-3,2,0,2,-10,1,-10,2,10,2,11,2,-2,-3,-1,-1,-1,-1,-2,-2,-1,2,-1,0,-2,1,0,-1,-2,-1,3,1,3,1,-7,1,-8,0,0,4,1,0,0,1,2,3,1,-2,1,-1,1,0,1,0,2,-1,-1,0,-1,0,1,1,2,1,1.0,4.0,1.0,-1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,-2.0,1.0,-1.0,1.0,2.0,1.0,2.0,0.0,0.0,-1.0,1.0,1,0,0,0,0,0
56,trainAnger057,-1,1,-3,-1,0,-2,0,-1,2,-2,0,0,0,0,-2,-1,0,0,-1,1,0,2,0,0,0,0,-2,-1,1,0,0,1,-2,0,-3,2,-1,-1,-2,-1,0,-1,-2,-1,-2,-1,-2,-2,-2,-1,-2,-1,0,-1,1,-2,0,-1,2,0,1,-3,1,-1,1,0,1,0,1,0,2,-2,2,-2,1,-1,1,-1,1,0,0,1,0,0,0,0,-1,2,0,1,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,-4,-3,-5,5,4,3,-1,1,7,4,0,-1,-2,-1,-2,1,2,1,1,-1,1,-1,-1,2,-2,1,3,-5,-2,5,3,2,-3,2,0,4,0,-1,3,-2,-1,2,0,-1,-2,-1,-3,-2,3,-5,4,-5,-3,4,4,4,3,3,1,4,2,7,2,3,-2,2,2,3,1,4,1,1,1,2,-2,4,-2,4,3,-4,-1,-2,-2,-4,-2,-4,2,-4,-2,-3,-1,-2,-1,-1,1,-3,-2,-1,-1,-1,2,-3,2,-3,-1,11,5,3,2,4,2,4,-7,5,2,3,2,-2,3,2,-1,3,4,3,4,3,-4,6,-5,5,0,3,0,-4,3,1,3,1,6,-2,3,1,2,3,1,-2,3,1,0,2,0,2,4,3,4,3,-4.0,-3.0,-4.0,0.0,-1.0,-3.0,0.0,-1.0,-7.0,3.0,-1.0,-2.0,1.0,-6.0,-3.0,0.0,-5.0,1.0,-1.0,0.0,-1.0,-2.0,-6.0,0.0,-5.0,-1.0,1,0,0,0,0,0
57,trainAnger058,-1,-3,2,0,-1,-1,1,-1,-2,0,0,-1,-1,-3,2,-1,0,-2,0,-1,-1,-2,-1,-2,-2,-2,2,6,-1,-1,3,0,1,0,6,1,2,0,2,3,-1,0,3,1,-1,3,0,3,5,4,6,4,-2,-7,-5,3,-4,1,2,-1,3,-3,-2,1,-1,2,-4,3,1,1,0,0,0,-1,-1,-3,0,-3,-2,3,1,-1,0,2,-4,3,2,-1,-2,0,-3,-2,1,0,0,0,2,0,2,1,-3,1,-4,2,1,7,1,-2,4,-1,2,0,0,3,3,-2,2,-1,1,-3,0,-1,-4,0,-3,1,5,3,5,3,2,-8,-1,7,1,0,4,-2,1,4,2,0,3,-6,1,4,3,1,0,-6,-2,-8,6,-9,6,-10,-2,8,5,0,6,3,-1,5,5,6,2,2,-1,5,4,0,3,2,3,7,4,8,-7,10,-7,9,-3,-4,-2,-3,-5,-3,-6,-1,-10,-3,-4,-2,-3,-2,-3,-2,-7,-1,-3,-4,-3,-4,-5,-3,-6,-2,3,2,-2,1,2,0,2,0,3,2,1,0,2,1,-1,0,2,-1,4,4,4,2,0,4,1,2,-1,2,-3,6,-3,2,-5,-1,-7,0,-4,2,-2,-2,-4,2,-5,1,2,8,2,7,-3,4,-3,4,3.0,-3.0,4.0,-4.0,1.0,-5.0,2.0,-4.0,0.0,-2.0,3.0,-2.0,3.0,-5.0,2.0,-1.0,1.0,-1.0,3.0,1.0,3.0,0.0,0.0,2.0,-1.0,0.0,1,0,0,0,0,0
58,trainAnger059,0,2,-1,0,0,1,2,0,1,-1,0,1,1,1,0,0,2,1,0,2,1,3,1,3,1,3,3,-5,5,0,4,-1,2,0,-1,1,3,-1,2,-3,5,-1,1,-1,3,-4,3,-4,2,-4,1,-4,-2,2,-1,0,-2,-1,-2,-1,0,0,-1,0,-1,0,-2,0,-1,0,-1,1,-1,0,-1,1,-1,1,-4,-2,-3,-2,-1,0,-2,0,-2,0,-2,-1,-3,1,-3,-1,-3,-1,-3,0,-3,1,-3,-1,-2,-1,4,-4,-1,1,-3,1,3,-1,5,-1,0,1,1,-1,0,2,3,2,2,1,2,-1,3,-1,3,-2,-1,0,-2,3,4,7,-1,8,1,3,1,3,1,3,0,1,0,1,1,1,1,3,0,2,0,3,0,3,-1,3,3,-1,-5,-1,-4,4,-1,-4,-1,-3,-2,-3,-1,-3,-3,-3,-4,-4,0,-3,1,-3,-1,5,0,1,1,1,2,1,5,0,1,1,0,3,2,2,2,1,2,4,3,4,-1,6,-2,6,-4,0,1,-5,0,0,0,1,-2,0,0,1,-1,-4,-2,-3,-2,2,-2,-2,-2,-2,-4,0,-5,0,2,2,3,1,3,-2,3,-1,3,1,2,-1,3,0,4,0,4,-1,5,2,5,1,4,1,4,0,-1.0,-4.0,-2.0,0.0,-2.0,-1.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-1.0,-4.0,0.0,0.0,-1.0,0.0,0.0,-5.0,0.0,-5.0,0.0,1,0,0,0,0,0
59,trainAnger060,1,3,1,2,2,3,2,3,0,3,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,0,-1,1,0,0,-2,0,-3,0,-1,1,-1,0,-1,1,-2,0,-2,0,-2,0,-2,1,-1,0,-1,-1,-3,-1,-1,-1,1,0,2,-1,1,-2,1,-1,-1,-1,0,-1,1,-2,0,-2,0,-2,0,-1,-1,0,3,0,-2,1,0,2,0,3,-2,2,-1,2,1,0,0,2,0,-1,2,-1,2,2,0,2,1,-5,0,-2,0,0,-3,-2,-2,-1,1,-1,-2,-3,-2,-1,-1,-2,-1,-1,-3,-1,-3,-3,0,-3,-1,4,-8,1,0,2,1,0,0,0,2,2,0,3,-1,1,-1,0,0,6,-2,6,-2,0,-2,0,-2,-2,4,1,10,6,5,-2,4,3,9,0,0,-1,-2,0,4,2,2,0,3,1,3,-1,4,-2,5,-2,3,2,-1,0,2,1,3,-2,1,1,2,-1,0,1,0,1,2,-3,-2,-4,-3,0,-2,1,-3,1,-5,-1,-4,-1,-3,0,-2,0,-5,-1,-3,1,-4,0,-3,-1,-3,2,-2,2,-2,0,-2,0,-2,-1,3,0,-1,2,0,0,1,-1,2,1,1,2,1,0,0,-1,1,1,4,1,4,-3,5,-3,4,1.0,-4.0,-1.0,-1.0,-5.0,-5.0,0.0,-5.0,-10.0,-2.0,-1.0,-1.0,0.0,-4.0,-3.0,0.0,-4.0,0.0,2.0,5.0,1.0,3.0,-5.0,3.0,-4.0,2.0,1,0,0,0,0,0
60,trainAnger061,0,6,-4,-1,-1,-3,1,-3,3,-3,-1,-2,0,0,-2,-1,1,-2,-3,2,-3,2,2,2,2,1,-1,-9,3,-1,3,0,0,0,-3,-1,2,0,2,-2,1,0,0,1,3,-4,3,-4,-2,-4,-2,-3,0,8,0,1,-2,2,1,1,2,1,0,0,0,2,0,1,1,0,-1,3,-1,4,3,3,3,3,2,-7,1,-2,2,-2,-1,-1,0,-1,1,-2,1,-3,0,-3,0,-2,2,-3,2,-4,-2,-3,-2,-3,-1,-2,2,1,2,1,0,0,0,2,0,1,0,-1,3,1,1,1,1,-2,1,-2,0,-1,0,-1,-3,3,-7,5,-2,-2,1,-1,4,4,-1,-2,-3,2,-4,2,0,-1,-11,2,-11,1,3,0,3,0,4,3,0,0,0,2,-1,1,-1,-1,0,2,1,1,0,1,-1,2,5,2,5,3,0,2,0,2,0,5,4,-2,1,0,2,0,2,-2,1,-1,1,-1,3,-2,3,-1,4,3,4,2,0,3,0,2,-1,-2,3,0,0,2,1,2,-3,2,1,2,1,1,2,2,-1,2,1,0,1,0,-1,0,-1,1,-2,-5,-1,-2,-2,-2,-3,-2,-3,-3,-2,-1,-2,-3,-1,-3,-2,-2,2,-5,1,-4,-3,-3,-3,-3,-2.0,-1.0,-3.0,0.0,2.0,1.0,-2.0,2.0,-1.0,2.0,0.0,-1.0,-1.0,1.0,-2.0,1.0,-1.0,1.0,-2.0,1.0,-2.0,1.0,-2.0,1.0,-2.0,1.0,1,0,0,0,0,0
61,trainAnger062,-5,1,-4,-1,-2,-1,-3,0,-1,1,-3,0,-3,1,-3,-1,-2,-1,-3,1,-4,2,-4,1,-4,1,2,3,-1,-1,0,0,1,1,1,-1,0,-2,0,1,-1,-1,0,-1,-1,0,0,0,3,1,2,1,1,0,2,0,3,1,1,0,2,1,3,2,2,0,2,1,3,2,3,1,2,1,1,1,2,1,1,-1,2,0,2,-2,4,-2,2,1,2,-2,2,-1,2,-1,1,-1,1,-2,1,-3,2,-2,2,-2,-2,-5,-2,-1,1,-1,-1,0,2,2,0,0,-1,0,-1,-2,1,0,0,-1,0,0,-4,0,-4,0,1,-5,-2,-3,-2,1,0,0,-1,-2,-1,0,0,1,-1,0,-2,0,-3,-2,-2,-1,0,-2,0,-1,-1,12,-1,1,1,-2,4,-1,3,1,3,0,2,2,0,1,2,2,-2,5,-2,3,5,4,5,4,-1,-10,0,1,-2,0,0,-1,1,0,-1,-1,-2,-1,-1,1,1,-1,-7,-6,-8,-5,3,-5,4,-5,1,13,2,3,0,2,0,2,-4,1,-1,3,1,0,1,3,-1,2,6,8,8,7,-3,7,-5,6,0,3,-2,-2,-2,-1,-1,-1,0,-1,-1,-1,-1,0,-2,-2,-1,-2,0,0,0,1,-2,1,-2,1,1.0,-1.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1,0,0,0,0,0
62,trainAnger063,2,-1,3,0,1,0,3,0,1,-1,1,-1,2,0,3,0,2,0,2,-1,2,-1,2,0,2,-1,-1,3,-5,0,-2,0,-4,0,-1,1,-2,1,-2,1,-4,0,-2,0,-2,2,-2,2,0,1,-1,2,-1,0,0,2,0,1,2,0,1,2,1,1,0,1,0,1,0,1,-1,1,-1,0,-1,1,-1,1,2,-6,-3,-2,-1,-3,-1,-2,2,-1,-1,-3,-1,-2,-1,0,0,-2,-3,-4,-3,-3,1,-4,2,-5,1,7,4,0,3,2,1,1,1,1,2,1,1,1,3,-1,2,1,4,3,3,3,-1,4,-1,4,-4,0,-2,1,-2,1,-1,1,1,-1,-2,-1,-2,0,-2,0,0,-1,-1,2,0,1,-1,1,-2,2,-1,4,-3,2,-1,1,-1,1,-2,1,0,1,0,-1,-3,1,-2,1,-8,-1,-7,0,4,-2,5,-2,2,-2,1,0,0,1,-1,1,-2,1,-1,1,0,2,1,0,-1,0,4,0,4,0,-2,1,-2,1,0,-1,1,-4,0,-1,1,0,-1,-3,1,0,1,-1,0,-1,1,0,3,1,2,0,-3,0,-3,0,1,1,1,3,2,0,0,0,2,3,0,0,0,0,2,0,0,0,0,-1,0,-1,3,0,2,0,1.0,4.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,2.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,2.0,0.0,-2.0,3.0,-1.0,4.0,2.0,3.0,3.0,2.0,1,0,0,0,0,0
63,trainAnger064,2,4,-1,2,1,2,2,1,3,1,2,2,2,3,0,1,2,1,1,4,1,3,1,3,1,3,-1,-2,0,-1,-2,0,0,0,-2,-2,-2,-1,-1,-2,0,-1,-1,0,-1,-2,-1,-1,-1,-2,-1,-2,-1,2,0,0,2,-1,0,0,2,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,-3,-15,-1,1,-2,0,-4,-1,-6,0,-3,-2,-3,-3,-2,-1,-4,-1,-6,-7,-6,-8,-1,-8,0,-8,0,-1,-2,0,0,-1,3,0,3,1,1,1,0,0,0,1,2,0,3,1,2,1,-2,1,-2,1,2,9,1,0,1,2,1,1,3,3,1,1,1,0,1,0,2,2,1,1,1,1,0,3,0,3,-1,-6,1,1,3,2,2,1,9,-1,2,-1,-1,3,1,-1,4,-2,-3,2,-2,2,2,1,1,1,-2,9,-1,0,-5,-2,-3,-1,-8,-1,-3,2,-1,-2,-1,3,-4,2,3,2,3,2,-4,3,-3,2,1,4,2,-4,0,-1,3,-2,-1,-4,1,-1,1,0,1,-2,1,-1,0,-1,0,-1,2,0,1,1,-1,-3,0,2,1,1,-1,2,-2,4,-1,2,-1,0,0,1,-1,2,-1,0,-1,0,-3,0,-3,0,-1.0,0.0,-2.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,1.0,-1.0,0.0,0.0,-1.0,1,0,0,0,0,0
64,trainAnger065,0,3,1,0,1,-1,1,0,0,-1,1,-1,1,0,2,0,1,0,0,0,0,0,2,0,2,0,2,-1,1,-1,-1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,-1,0,-2,0,-3,1,0,-1,-1,0,1,2,-1,-1,-2,-1,-2,0,-1,-1,-1,0,-1,0,-2,0,-2,0,-2,0,0,-1,1,-1,2,-2,2,0,1,-1,0,0,-1,0,1,0,-7,-1,-8,-1,6,-1,7,-2,5,-11,-4,-2,1,-3,-1,-3,2,-2,0,-3,0,-3,-1,-2,2,-2,5,-3,6,-3,-3,-3,-3,-3,-3,6,2,1,2,2,1,2,0,2,2,1,1,2,2,0,0,1,4,1,3,1,-4,4,-3,4,-2,2,-2,2,-3,0,0,1,0,2,-2,2,-2,0,-2,2,-1,1,-5,3,-5,1,1,1,0,0,-1,-2,0,2,2,3,-2,1,1,-1,0,-1,-1,-2,1,-1,1,-2,1,-2,2,-1,-2,-1,-2,0,5,6,2,2,-2,2,-1,2,-5,-1,-1,2,3,2,0,2,-2,1,3,2,3,3,6,0,6,0,-1,3,1,-2,2,-3,4,-1,6,1,3,0,1,1,2,-1,3,1,-1,1,-1,1,1,2,1,2,-1.0,-5.0,0.0,-2.0,1.0,0.0,-1.0,-1.0,-2.0,-2.0,0.0,-3.0,0.0,-4.0,0.0,-2.0,0.0,-2.0,0.0,-4.0,0.0,-5.0,-1.0,-4.0,-1.0,-4.0,1,0,0,0,0,0
65,trainAnger066,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,-2,-1,-2,2,-1,-1,-1,0,-1,1,-1,1,-2,0,-2,0,-1,2,-2,3,-3,-1,-1,-1,-1,-1,3,0,1,-1,0,0,1,2,1,0,0,0,2,0,1,0,1,-2,2,-2,3,2,1,1,1,2,-4,2,-2,0,0,0,-1,-3,-1,0,0,0,-2,1,0,-1,-1,3,-1,2,-2,-3,-2,-2,-2,-1,5,-4,2,1,-2,1,-1,5,0,0,-1,1,3,-2,0,2,0,-3,5,-2,5,3,3,2,3,0,-2,-6,4,2,3,3,0,9,1,3,1,2,2,-3,1,3,0,-1,-1,-1,-1,2,1,3,1,-8,-16,15,-3,-2,1,1,0,5,-5,-3,-1,-9,-2,9,-1,5,-2,9,-2,10,-3,-6,-1,-7,-2,8,16,-12,1,0,1,-3,2,-8,2,0,0,6,-2,-8,0,-6,1,-6,0,-7,1,5,0,6,0,-2,1,2,0,2,-1,-1,2,-2,4,1,0,0,-1,2,-2,-1,0,0,-1,0,0,-2,0,-2,1,0,4,1,0,-1,0,-2,0,-2,1,-1,0,-1,1,0,1,0,1,2,5,2,4,-1,4,-2,3,3.0,-6.0,1.0,-1.0,3.0,1.0,-1.0,1.0,-3.0,0.0,0.0,1.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,4.0,-1.0,3.0,-2.0,-4.0,-2.0,-3.0,-3.0,1,0,0,0,0,0
66,trainAnger067,-3,-1,0,1,-2,1,0,1,-2,1,-2,2,-1,1,1,1,-2,1,-1,0,-1,0,-1,-1,-1,0,1,0,0,-1,0,0,-1,-1,0,-1,0,-1,0,-1,-1,0,0,-1,-1,0,0,0,-1,0,0,0,3,-4,2,1,1,1,1,1,-1,0,1,0,1,-1,2,-1,0,0,3,-3,2,-3,1,-1,0,-1,-2,4,-1,-1,0,-3,0,-2,2,0,0,-1,0,0,-1,0,1,-1,-1,2,-1,1,0,0,1,0,-4,-5,-3,5,2,2,0,2,0,3,0,0,-2,0,-1,3,0,2,-10,-2,-10,-1,3,-3,2,-2,1,6,-1,-1,1,2,1,1,4,0,1,0,0,0,-1,-2,2,-1,4,3,4,2,-4,4,-3,3,-1,0,1,-3,2,2,1,2,3,0,1,0,1,4,1,0,2,1,4,2,4,3,0,4,-1,4,1,0,2,5,-3,2,-3,2,-5,2,-2,3,-1,-2,0,3,-3,2,-1,0,-1,-1,0,-3,1,-3,-2,4,-3,-4,0,-2,0,-1,0,-1,0,-1,0,1,-1,-2,0,-1,0,2,1,2,-1,3,-2,3,3,0,3,3,-1,0,0,1,-1,2,0,0,1,0,2,0,0,0,2,-1,1,-1,1,0,1,-1,-1.0,-1.0,-2.0,-2.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,1,0,0,0,0,0
67,trainAnger068,1,-1,0,-1,0,1,-1,1,-1,1,0,0,0,-1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,0,0,-2,3,-1,0,1,1,0,-2,0,1,1,1,0,2,0,1,1,2,-2,2,-2,-1,-1,0,-1,-2,6,-4,1,1,0,0,1,4,-1,-1,0,-1,2,-2,0,0,0,-2,4,-2,3,2,3,1,3,-1,0,-2,-1,-2,-1,-1,-1,-4,2,-1,0,-2,0,-2,1,-2,2,-3,0,-3,0,-1,-1,-1,-1,1,-12,1,-1,-1,-1,1,-2,2,-1,0,-1,0,-2,0,0,1,-2,1,-4,1,-4,-1,-5,-1,-5,-3,4,0,-2,0,-3,1,-2,2,-2,1,-2,0,1,1,-2,1,-1,1,3,1,3,-6,8,-5,7,-2,1,0,1,-1,1,3,1,1,3,0,3,0,1,-1,2,0,3,-1,1,-1,1,2,-1,1,0,5,8,2,3,1,5,-1,2,-3,-2,1,3,2,1,2,1,0,2,3,0,3,1,5,0,6,0,0,-1,1,-2,1,-1,3,1,2,0,1,0,1,0,0,1,2,-1,-1,1,-1,0,0,0,-1,0,0,4,-2,1,-1,-1,-1,-1,0,1,-1,-2,0,0,-1,0,-1,0,-2,-1,-2,0,0,1,1,1,-1.0,-3.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
